RecordId,Name,PhdEntityType,TagNo,Active,Description,ParentTag,ClassTag,TagUnits,Tolerance,ToleranceType,Collection,DemandCalculation,ManualInput,PutDownload,DataStore,RangeChkDisable,DataEdit,ArchiveResample,EPKSExceptionTag,FileStream,SourceTag,SourceTagUnits,ScanFrequency,SourceDeadband,HighExtreme,LowExtreme,Quantum,HighHighLimit,HighLimit,LowLimit,LowLowLimit,HighHighEnable,HighEnable,LowEnable,LowLowEnable,SmoothingConstant,CompressionToleranceFactor,MinimumCompressionTolerance,GrossErrorSigmaLimit,GrossErrorSamples,NoiseGateLevel,PercentRecordFill,SpecQueueSize,ExtrapolationDamping,ResampleMethod,SourceTagIndexA,SourceTagIndexB,SourceTagIndexC,SourceTagIndexD,InterpolationMethod,UserDefined1,UserDefined2,ScanTimeStampUnit,TimeStamp,ExtendedSourceTag,Asset,Item,Function,RuleName,SynchronizationEnable,DigitalEnumEnable,DigitalEnumeration,MachineName,CollectorName,SourceSystem,SourceTagType,SourceTagAttribute,SourceName,CompressionSetting,VirtualTagCalculation
243,7570TIC037.DACA.PV,T,243,TRUE,Temperatur varmtvann jp fra S-anlegg,EXP_PARENT,FALSE,°C,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TIC037.DACA.PV,75-70,/Assets/T-plant/75-70/7570TIC037,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TIC037.DACA.PV,-1,
244,7570TIC038.PIDA.OP,T,244,TRUE,Temperatur varmtvann jp inndamper,EXP_PARENT,FALSE,%,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TIC038.PIDA.OP,75-70,/Assets/T-plant/75-70/7570TIC038,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TIC038.PIDA.OP,-1,
245,7570TIC038.PIDA.SP,T,245,TRUE,Temperatur varmtvann jp inndamper,EXP_PARENT,FALSE,°C,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TIC038.PIDA.SP,75-70,/Assets/T-plant/75-70/7570TIC038,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TIC038.PIDA.SP,-1,
246,7570TIC038.DACA.PV,T,246,TRUE,Temperatur varmtvann jp inndamper,EXP_PARENT,FALSE,°C,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TIC038.DACA.PV,75-70,/Assets/T-plant/75-70/7570TIC038,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TIC038.DACA.PV,-1,
247,7570TIC080.PIDA.OP,T,247,TRUE,Tur sekundær veksler,EXP_PARENT,FALSE,%,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TIC080.PIDA.OP,75-70,/Assets/T-plant/75-70/7570TIC080,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TIC080.PIDA.OP,-1,
248,7570TIC080.PIDA.SP,T,248,TRUE,Tur sekundær veksler,EXP_PARENT,FALSE,,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TIC080.PIDA.SP,75-70,/Assets/T-plant/75-70/7570TIC080,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TIC080.PIDA.SP,-1,
249,7570TIC080.DACA.PV,T,249,TRUE,Tur sekundær veksler,EXP_PARENT,FALSE,,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7570TIC080.DACA.PV,75-70,/Assets/T-plant/75-70/7570TIC080,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7570TIC080.DACA.PV,-1,
250,7585FI013.DACA.PV,T,250,TRUE,Mengde damp til inndamper,EXP_PARENT,FALSE,Kg/t,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,1000,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7585FI013.DACA.PV,75-85,/Assets/T-plant/75-85/7585FI013,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7585FI013.DACA.PV,-1,
251,7585FI017.DACA.PV,T,251,TRUE,"Mengdemåler coriolis mass-flow, damp(2 mA utganger på måler)",EXP_PARENT,FALSE,Kg/t,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,5000,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7585FI017.DACA.PV,75-85,/Assets/T-plant/75-85/7585FI017,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7585FI017.DACA.PV,-1,
252,7585HCV002.AUTOMANA.OP,T,252,TRUE,Ventil for åpne/stenge damp til inndamper,EXP_PARENT,FALSE,%,,,TRUE,FALSE,FALSE,,TRUE,,,,FALSE,,,,60,,100,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.34036E+17,7585HCV002.AUTOMANA.OP,75-85,/Assets/T-plant/75-85/7585HCV002,U,DEFAULT_RULE,TRUE,,,UF-35ESV01,EXP_LINK,OPC,F4,VALUE,7585HCV002.AUTOMANA.OP,-1,
