Time,Name,Value,Unit,Quality
"10.08.2025 02.54.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER1_AIN_41LT337_CHAR_OUT,"19,25",,Good: Interpolated
"10.08.2025 03.29.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R22_9232LI042,"0,00",,Good: Interpolated
"10.08.2025 03.45.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R34_5032LI23,"23,24",m3,Good: Interpolated
"10.08.2025 04.16.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R27_9232LI047,"1,00",,Good: Interpolated
"10.08.2025 08.36.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_41LI435_MEAS,"19,21",,Good: Interpolated
"10.08.2025 10.49.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER1_AIN_40LT384_CHAR_OUT,"22,85",,Good: Interpolated
"10.08.2025 12.53.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_37LT374_MEAS,"256,70",,Good: Interpolated
"10.08.2025 13.01.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_38LT327_MEAS,"-0,16",,Good: Interpolated
"10.08.2025 14.16.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER1_AIN_40LT383_CHAR_OUT,"15,55",,Good: Interpolated
"10.08.2025 15.24.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_37LT423_MEAS,"279,58",,Good: Interpolated
"10.08.2025 18.52.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_37LI436_MEAS,"-0,29",,Good: Interpolated
"10.08.2025 21.10.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_avfallsvaesker.TANKER1_AIN_34LT311_MEAS,"6,27",,Good: Interpolated
"10.08.2025 22.30.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_41LI435_MEAS,"19,21",,Good: Interpolated
"10.08.2025 23.22.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_L14_9237LI038,"18,43",m3,Good: Interpolated
"11.08.2025 00.43.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R34_5032LI23,"23,25",m3,Good: Interpolated
"11.08.2025 03.24.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER1_AIN_41LT337_CHAR_OUT,"19,22",,Good: Interpolated
"11.08.2025 06.26.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_37LT396_MEAS,"286,46",,Good: Interpolated
"11.08.2025 09.14.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER1_AIN_41LT336_CHAR_OUT,"14,16",,Good: Interpolated
"11.08.2025 09.56.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R21_9232LI041,"0,00",,Good: Interpolated
"11.08.2025 11.33.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER1_AIN_41LT338_CALC_RO01,"15,12",,Good: Interpolated
"11.08.2025 12.29.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_32LI441_MEAS,"32,55",,Good: Interpolated
"11.08.2025 12.36.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_38LT331_MEAS,"41,93",,Good: Interpolated
